Kramer Guitars,Striker Figured HSS Wi B-Stock,£275
Schecter,Signature Nick Johnsto B-Stock,£883
Harley Benton,SC-550 Plus EMG FTF B-Stock,£325
Harley Benton,SC-Custom II Active Vi B-Stock,£208
Harley Benton,ST-20HSS LH SBK B-Stock,£87
Charvel,Pro-Mod DK24 HH 2PT CM B-Stock,£759
Harley Benton,Fusion-III HSH EB FCB B-Stock,£225
Harley Benton,TE-90FLT Red Blast B-Stock,£135
Ibanez,FLATV1-BK Josh Smith,"£1,799"
Sterling by Music Man,Cutlass CT50HSS Daphne B-Stock,£622
Harley Benton,Fusion-T HH HT Roasted B-Stock,£228
Evh,Frankie Striped MN Rel B-Stock,"£1,185"
Fender,Player Series Strat PF B-Stock,£599
Harley Benton,Fusion-III HSS Roasted B-Stock,£308
Larry Carlton,L7 TS B-Stock,£444
Guild,Starfire I Jet 90 Gold B-Stock,£509
Guild,Starfire I DC EG w/Vib B-Stock,£438
Yamaha,Pacifica 112V UBL RL B-Stock,£230
Harley Benton,Amarok-7 BKRD Quilted  B-Stock,£422
Epiphone,Sheraton II VS B-Stock,£499
Epiphone,Les Paul Custom Ebony  B-Stock,£494
Harley Benton,ST-62SB Vintage B-Stock,£101
Larry Carlton,S7FM NT B-Stock,£409
Harley Benton,DC-60 Junior Faded Che B-Stock,£143
Harley Benton,CST-24T Paradise Flame B-Stock,£202
Harley Benton,Fusion-III HH HT Roast B-Stock,£282
Harley Benton,CST-24 Paradise Flame B-Stock,£211
Epiphone,Les Paul Standard 60´s B-Stock,£533
Fender,Player Plus Strat MN O B-Stock,£777
Harley Benton,Fusion-III HH FR EB FC B-Stock,£284
Epiphone,Jerry Cantrell Wino LP B-Stock,£694
Harley Benton,DC-580LH CH Vintage Se B-Stock,£98
Harley Benton,Amarok-BT BKRD Quilted B-Stock,£371
Harley Benton,ST-57DG Black Tribute B-Stock,£136
Gretsch,G5222LH EMTC D. Jet BT B-Stock,£477
Harley Benton,HB-35 CH Vintage Serie B-Stock,£163
Schecter,Omen Extreme 7 STBLK B-Stock,£521
Fender,Player Plus Strat HSS  B-Stock,£749
Epiphone,Les Paul Special TV Ye B-Stock,£358
Harley Benton,TE-90FLT Green Blast B-Stock,£136
Squier,Strat 40th Anniv SNB B-Stock,£331
Mooer,GTRS Guitars Standard  B-Stock,£437
Harley Benton,DC-Custom White B-Stock,£199
Chapman Guitars,ML3 Traditional Gloss  B-Stock,£385
Harley Benton,Fusion-T HH Roasted SS B-Stock,£325
Gretsch,G5232LH Emtc DBL Jet F B-Stock,£455
Guild,Surfliner Sunset Orang B-Stock,£322
Harley Benton,Fusion-III HSH EB FCH B-Stock,£229
Harley Benton,Fusion-T HH HT EB PSP B-Stock,£237
PRS,SE Tremonti Custom CA B-Stock,£692
Harley Benton,Amarok-7 EGNT Quilted  B-Stock,£429
Charvel,Pro-Mod DK24 HH 2PT CM B-Stock,£759
Squier,Bullet Strat HS B-Stock,£134
Ibanez,RGRT421-WK B-Stock,£398
Squier,Affinity Tele Olymp B-Stock,£177
Harley Benton,SC-Custom II Lemon Fla B-Stock,£213
Harley Benton,SC-450Plus LD Vintage  B-Stock,£146
Danelectro,66-12 3 Tone Sunburst B-Stock,£849
Cort,G 300 Pro Vivid Burgun B-Stock,£468
Harley Benton,DC-Junior FAT Benton B B-Stock,£143
Harley Benton,SC-200LH BK Student Se B-Stock,£84
Harley Benton,SC-Custom II Ocean Fla B-Stock,£193
Harley Benton,TE-80 NT Deluxe Series B-Stock,£146
Squier,Affinity Strat B-Stock,£177
Yamaha,Pacifica 611HFM RB B-Stock,£579
Jackson,DKR MAH Dinky MJ Serie B-Stock,"£1,325"
Yamaha,Revstar RSS02T Hot Mer B-Stock,£589
Harley Benton,MS-60 Vintage White B-Stock,£131
Harley Benton,TE-62CC LPB B-Stock,£105
PRS,SE Hollowbody II TC B-Stock,£622
Ibanez,RG370AHMZ-BMTStandard B-Stock,£424
Harley Benton,SC-Custom II P90 Black B-Stock,£219
Traveler Guitar,LTD EC-1 Snow White B-Stock,£659
Squier,Strat Pack SSS BSB B-Stock,£192
Harley Benton,SC-Custom II LH Vintag B-Stock,£214
Harley Benton,ST-90SA Swamp Ash DLX  B-Stock,£138
Harley Benton,Extreme-76 BK Classic  B-Stock,£108
Harley Benton,HB-35 BK Vintage Serie B-Stock,£163
Harley Benton,ST-70 Black Paisley B-Stock,£131
Yamaha,Pacifica 612V II FMX F B-Stock,£666
Ibanez,RGRTB621-BKF B-Stock,£919
Ibanez,GRG170DX-BKN B-Stock,£213
Harley Benton,Fusion-T HH Roasted FB B-Stock,£308
Squier,Affinity Tele MN 3- B-Stock,£177
Harley Benton,TE-20HH SBK Standard S B-Stock,£81
Harley Benton,TE-90FLT Black Blast B-Stock,£137
Harley Benton,Extreme-76LH BK Classi B-Stock,£105
Harley Benton,TE-62CC LH SFG B-Stock,£119
Ibanez,AZES31-IV B-Stock,£247
