name,activities,overview,links,phone,location
Benton Hear of Arkansas,"Basketball, Dance, Swim, T-Ball, Tennis, Track and Field, Volleyball",This Adaptive Sports Camp program provides a variety of adaptive recreational volleyball activities for those in the community with physical or cognitive disabilities with their families.,https://www.bentonar.org/adaptiveprograms,501-776-5900,"114 S. East Street Benton, AR 72015"
Ozark Adaptive Sports Association,"Mailing Address: PO Box 1265, Rogers, AR 72757",Ozark Adaptive Sports Association (OZASA) is a nonprofit organization that benefits people with disabilities in the Greater Northwest Arkansas area who wish to stay physically active.,https://www.ozasa.org/,479-274-8315,
